"id";"idversion_init";"idversion_end";"file";"begin_line";"end_line";"rule";"ruleset";"package";"class";"function";"priority";"violation";"violation_nonumbers";"version_init";"version_end";"date_init";"date_end";"diff";"censored"
"712";"1";"34";"libraries\tcpdf\tcpdf.php";"114";"6852";"CouplingBetweenObjects";"Design Rules";"+global";"TCPDF";;"2";"The class TCPDF has a coupling between objects value of 48. Consider to reduce the number of dependencies under 13.";"The class TCPDF has a coupling between objects value of . Consider to reduce the number of dependencies under .";"3.0.0";"3.4.0";"2008-09-27";"2011-05-11";"956";"1"
"1769";"19";"41";"libraries\PHPExcel\PHPExcel\Reader\Excel2007.php";"99";"1565";"CouplingBetweenObjects";"Design Rules";"PHPExcel_Reader";"PHPExcel_Reader_Excel2007";;"2";"The class PHPExcel_Reader_Excel2007 has a coupling between objects value of 25. Consider to reduce the number of dependencies under 13.";"The class PHPExcel_Reader_Excel has a coupling between objects value of . Consider to reduce the number of dependencies under .";"3.3.0";"3.4.5";"2010-03-07";"2011-09-14";"556";"1"
"1803";"19";"41";"libraries\PHPExcel\PHPExcel\Reader\Excel5.php";"120";"5246";"CouplingBetweenObjects";"Design Rules";"PHPExcel_Reader_Excel5";"PHPExcel_Reader_Excel5";;"2";"The class PHPExcel_Reader_Excel5 has a coupling between objects value of 26. Consider to reduce the number of dependencies under 13.";"The class PHPExcel_Reader_Excel has a coupling between objects value of . Consider to reduce the number of dependencies under .";"3.3.0";"3.4.5";"2010-03-07";"2011-09-14";"556";"1"
"2449";"19";"41";"libraries\PHPExcel\PHPExcel\Worksheet.php";"117";"2378";"CouplingBetweenObjects";"Design Rules";"PHPExcel_Worksheet";"PHPExcel_Worksheet";;"2";"The class PHPExcel_Worksheet has a coupling between objects value of 27. Consider to reduce the number of dependencies under 13.";"The class PHPExcel_Worksheet has a coupling between objects value of . Consider to reduce the number of dependencies under .";"3.3.0";"3.4.5";"2010-03-07";"2011-09-14";"556";"1"
"2638";"19";"34";"libraries\PHPExcel\PHPExcel\Writer\Excel2007.php";"99";"580";"CouplingBetweenObjects";"Design Rules";"PHPExcel_Writer_Excel2007";"PHPExcel_Writer_Excel2007";;"2";"The class PHPExcel_Writer_Excel2007 has a coupling between objects value of 18. Consider to reduce the number of dependencies under 13.";"The class PHPExcel_Writer_Excel has a coupling between objects value of . Consider to reduce the number of dependencies under .";"3.3.0";"3.4.0";"2010-03-07";"2011-05-11";"430";"1"
"2785";"19";"28";"libraries\PHPExcel\PHPExcel\Writer\Excel5\Workbook.php";"116";"1546";"CouplingBetweenObjects";"Design Rules";"PHPExcel_Writer_Excel5";"PHPExcel_Writer_Excel5_Workbook";;"2";"The class PHPExcel_Writer_Excel5_Workbook has a coupling between objects value of 15. Consider to reduce the number of dependencies under 13.";"The class PHPExcel_Writer_Excel_Workbook has a coupling between objects value of . Consider to reduce the number of dependencies under .";"3.3.0";"3.3.8";"2010-03-07";"2010-10-25";"232";"1"
"2820";"19";"41";"libraries\PHPExcel\PHPExcel\Writer\Excel5\Worksheet.php";"110";"2862";"CouplingBetweenObjects";"Design Rules";"PHPExcel_Writer_Excel5";"PHPExcel_Writer_Excel5_Worksheet";;"2";"The class PHPExcel_Writer_Excel5_Worksheet has a coupling between objects value of 14. Consider to reduce the number of dependencies under 13.";"The class PHPExcel_Writer_Excel_Worksheet has a coupling between objects value of . Consider to reduce the number of dependencies under .";"3.3.0";"3.4.5";"2010-03-07";"2011-09-14";"556";"1"
"2896";"19";"41";"libraries\PHPExcel\PHPExcel\Writer\HTML.php";"63";"1088";"CouplingBetweenObjects";"Design Rules";"PHPExcel_Writer";"PHPExcel_Writer_HTML";;"2";"The class PHPExcel_Writer_HTML has a coupling between objects value of 17. Consider to reduce the number of dependencies under 13.";"The class PHPExcel_Writer_HTML has a coupling between objects value of . Consider to reduce the number of dependencies under .";"3.3.0";"3.4.5";"2010-03-07";"2011-09-14";"556";"1"
"3377";"24";"34";"libraries\PHPExcel\PHPExcel\Shared\JAMA\Matrix.php";"45";"1445";"CouplingBetweenObjects";"Design Rules";"+global";"Matrix";;"2";"The class Matrix has a coupling between objects value of 14. Consider to reduce the number of dependencies under 13.";"The class Matrix has a coupling between objects value of . Consider to reduce the number of dependencies under .";"3.3.5";"3.4.0";"2010-07-26";"2011-05-11";"289";"1"
"3561";"28";"41";"libraries\PHPExcel\PHPExcel\Reader\OOCalc.php";"51";"507";"CouplingBetweenObjects";"Design Rules";"PHPExcel_Reader";"PHPExcel_Reader_OOCalc";;"2";"The class PHPExcel_Reader_OOCalc has a coupling between objects value of 13. Consider to reduce the number of dependencies under 13.";"The class PHPExcel_Reader_OOCalc has a coupling between objects value of . Consider to reduce the number of dependencies under .";"3.3.8";"3.4.5";"2010-10-25";"2011-09-14";"324";"1"
